,track_orig,year_orig,driver_orig,team_orig,grid_orig,track_70th Anniversary GP,track_Abu Dhabi GP,track_Australian GP,track_Austrian GP,track_Azerbaijan GP,track_Bahrain GP,track_Belgian GP,track_Brazilian GP,track_British GP,track_Canadian GP,track_Chinese GP,track_Dutch GP,track_Eifel GP,track_Emilia Romagna GP,track_European GP,track_French GP,track_German GP,track_Hungarian GP,track_Indian GP,track_Italian GP,track_Japanese GP,track_Korean GP,track_Malaysian GP,track_Mexican GP,track_Mexico City GP,track_Miami GP,track_Monaco GP,track_Portuguese GP,track_Qatar GP,track_Russian GP,track_Sakhir GP,track_Saudi Arabian GP,track_Singapore GP,track_Spanish GP,track_Styrian GP,track_São Paulo GP,track_Turkish GP,track_Tuscan GP,track_United States GP,driver_aitken,driver_albon,driver_alguersuari,driver_alonso,driver_ambrosio,driver_barrichello,driver_bottas,driver_brendon_hartley,driver_bruno_senna,driver_buemi,driver_button,driver_chilton,driver_de_vries,driver_ericsson,driver_garde,driver_gasly,driver_giovinazzi,driver_glock,driver_grosjean,driver_gutierrez,driver_hamilton,driver_heidfeld,driver_hulkenberg,driver_jolyon_palmer,driver_jules_bianchi,driver_kevin_magnussen,driver_kobayashi,driver_kovalainen,driver_kubica,driver_kvyat,driver_latifi,driver_lawson,driver_leclerc,driver_maldonado,driver_massa,driver_max_verstappen,driver_mazepin,driver_michael_schumacher,driver_mick_schumacher,driver_nasr,driver_norris,driver_ocon,driver_perez,driver_petrov,driver_piastri,driver_pic,driver_pietro_fittipaldi,driver_raikkonen,driver_resta,driver_ricciardo,driver_rosa,driver_rosberg,driver_rossi,driver_russell,driver_sainz,driver_sargeant,driver_sirotkin,driver_stroll,driver_sutil,driver_trulli,driver_tsunoda,driver_vandoorne,driver_vergne,driver_vettel,driver_webber,driver_wehrlein,driver_zhou,team_alfa,team_alphatauri,team_alpine,team_aston_martin,team_caterham,team_ferrari,team_force_india,team_haas,team_hrt,team_lotus_f1,team_lotus_racing,team_manor,team_marussia,team_mclaren,team_mercedes,team_racing_point,team_red_bull,team_renault,team_sauber,team_toro_rosso,team_williams,race,trackId,year,grid,laps,prev_position,prev_points,prev_pit_mean_drv,prev_pit_mean_race,prev_total_stops,prev_total_race_time,prev_pit_total_time,prev_fast_lap
0,Chinese GP,2011,hamilton,mclaren,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6712079249681735,0.08068266791242537,-3.3306690738754696e-16,-0.9225322468765688,-0.30741122541828997,-1.110909895637419,-1.0047873388922195,-1.2385620805196444,-1.238738125565204,-1.138551810751414,-1.23229331431277,-1.2309944698479178,-1.2187728343815283
1,Chinese GP,2011,vettel,red_bull,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.6712079249681735,0.08068266791242537,-3.3306690738754696e-16,-1.67443046299387,-0.30741122541828997,-1.110909895637419,-1.0047873388922195,-1.2385620805196444,-1.238738125565204,-1.138551810751414,-1.23229331431277,-1.2309944698479178,-1.2187728343815283
2,Chinese GP,2011,webber,red_bull,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.6712079249681735,0.08068266791242537,-3.3306690738754696e-16,1.506629542852896,-0.30741122541828997,-1.110909895637419,-1.0047873388922195,-1.2385620805196444,-1.238738125565204,-1.138551810751414,-1.23229331431277,-1.2309944698479178,-1.2187728343815283
3,Chinese GP,2011,button,mclaren,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6712079249681735,0.08068266791242537,-3.3306690738754696e-16,-1.2546352621444745,-0.30741122541828997,-1.110909895637419,-1.0047873388922195,-1.2385620805196444,-1.238738125565204,-1.138551810751414,-1.23229331431277,-1.2309944698479178,-1.2187728343815283
4,Chinese GP,2011,rosberg,mercedes,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6712079249681735,0.08068266791242537,-3.3306690738754696e-16,-0.6433845711607042,-0.30741122541828997,-1.110909895637419,-1.0047873388922195,-1.2385620805196444,-1.238738125565204,-1.138551810751414,-1.23229331431277,-1.2309944698479178,-1.2187728343815283
5,Chinese GP,2011,massa,ferrari,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6712079249681735,0.08068266791242537,-3.3306690738754696e-16,-0.18355199101360162,-0.30741122541828997,-1.110909895637419,-1.0047873388922195,-1.2385620805196444,-1.238738125565204,-1.138551810751414,-1.23229331431277,-1.2309944698479178,-1.2187728343815283
6,Chinese GP,2011,alonso,ferrari,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6712079249681735,0.08068266791242537,-3.3306690738754696e-16,-0.40027702239088075,-0.30741122541828997,-1.110909895637419,-1.0047873388922195,-1.2385620805196444,-1.238738125565204,-1.138551810751414,-1.23229331431277,-1.2309944698479178,-1.2187728343815283
7,Chinese GP,2011,michael_schumacher,mercedes,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6712079249681735,0.08068266791242537,-3.3306690738754696e-16,1.05720859516017,-0.30741122541828997,-1.110909895637419,-1.0047873388922195,-1.2385620805196444,-1.238738125565204,-1.138551810751414,-1.23229331431277,-1.2309944698479178,-1.2187728343815283
8,Chinese GP,2011,petrov,renault,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.6712079249681735,0.08068266791242537,-3.3306690738754696e-16,0.5160993177882806,-0.30741122541828997,-1.110909895637419,-1.0047873388922195,-1.2385620805196444,-1.238738125565204,-1.138551810751414,-1.23229331431277,-1.2309944698479178,-1.2187728343815283
9,Chinese GP,2011,kobayashi,sauber,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6712079249681735,0.08068266791242537,-3.3306690738754696e-16,0.9322270964639677,-0.30741122541828997,-1.110909895637419,-1.0047873388922195,-1.2385620805196444,-1.238738125565204,-1.138551810751414,-1.23229331431277,-1.2309944698479178,-1.2187728343815283
